,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2.0,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.55,2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95,3.0,3.05,3.1,3.15,3.2,3.25,3.3,3.35,3.4,3.45,3.5,3.55,3.6,3.65,3.7,3.75,3.8,3.85,3.9,3.95,4.0
0.5,84,100,100,35,30,96,15,92,100,29,14,23,59,15,19,9,12,37,12,10,16,57,29,11,9,14,24,34,37,7,14,22,13,100,64,14,100,29,50,17,33,25,100,54,22,100,30,32,100,26,18,43,18,59,15,55,100,100,95,100
0.55,62,56,68,100,100,100,100,14,22,37,100,11,24,12,18,17,18,36,30,12,34,14,11,100,15,24,100,21,13,38,18,44,15,12,19,100,13,37,100,100,12,15,90,100,86,100,15,14,100,41,37,19,21,100,13,21,21,28,27,100
0.6,100,41,24,38,13,18,34,25,17,17,14,22,10,14,100,11,17,19,11,100,25,10,17,14,20,51,9,100,18,15,9,40,15,47,18,16,22,20,100,14,37,29,100,12,30,17,100,43,38,13,100,31,17,100,20,24,23,44,30,23
0.65,100,44,41,27,20,26,21,38,20,24,73,26,19,21,10,16,14,14,20,24,18,13,9,9,100,11,17,11,9,22,8,12,9,43,13,16,44,15,12,100,26,17,26,9,13,19,53,22,22,100,100,16,26,24,14,15,69,20,21,58
0.7,100,40,73,31,18,20,28,21,18,17,100,14,13,21,14,9,16,26,19,11,13,10,7,22,13,17,9,11,21,17,23,15,23,13,10,16,34,42,13,11,17,100,13,18,36,15,12,72,23,24,14,16,13,9,17,20,13,61,42,23
0.75,100,76,31,38,17,19,14,17,12,15,26,20,100,14,26,14,11,8,9,17,19,21,8,17,13,8,9,13,71,27,11,16,16,12,12,19,12,17,17,20,16,12,11,17,32,23,17,14,20,17,28,17,30,49,17,30,21,22,46,14
0.8,100,53,39,21,20,15,22,17,13,22,100,16,30,18,20,66,15,13,13,9,26,31,10,12,13,46,10,13,19,13,18,11,10,17,24,100,45,10,12,27,100,19,14,18,35,13,15,36,20,25,20,17,44,21,18,23,17,62,100,21
0.85,100,42,33,23,22,24,53,17,13,28,17,14,25,14,100,18,15,13,10,18,14,10,16,30,10,13,11,7,100,17,18,14,16,9,16,23,11,22,21,11,6,11,11,41,16,70,17,17,18,13,28,18,20,12,32,21,28,19,12,41
0.9,95,36,22,29,19,21,14,25,23,13,13,11,14,24,17,10,17,8,12,9,100,12,16,11,10,12,11,14,11,14,51,12,14,23,20,23,23,11,14,13,19,41,17,11,17,12,18,10,12,13,10,16,15,29,100,16,19,21,16,18
0.95,97,49,34,24,14,15,19,16,17,14,12,19,11,10,10,11,15,9,11,13,12,13,11,11,16,10,11,13,10,13,11,14,27,12,21,9,14,21,15,13,12,17,12,15,14,11,24,14,18,50,13,40,11,18,19,16,10,23,34,20
